7750.000000,2691.490000,966.760000
7750.000000,2887.200000,4042.580000
7750.000000,2691.490000,966.760000
7647.130000,2693.880000,960.480000
7545.170000,2696.080000,955.040000
7444.090000,2698.110000,950.440000
7343.850000,2699.950000,946.670000
7244.380000,2701.630000,943.710000
7145.650000,2703.140000,941.560000
7047.610000,2704.490000,940.210000
6950.210000,2705.670000,939.660000
6853.420000,2706.690000,939.900000
6757.200000,2707.560000,940.920000
6661.500000,2708.280000,942.730000
6566.290000,2708.850000,945.320000
6471.530000,2709.260000,948.690000
6377.190000,2709.530000,952.830000
6283.240000,2709.660000,957.740000
6189.640000,2709.640000,963.420000
6096.360000,2709.480000,969.880000
6004.990000,2709.190000,976.980000
5912.260000,2708.750000,984.960000
5818.380000,2708.170000,993.820000
5723.300000,2707.420000,1003.590000
5626.970000,2706.500000,1014.270000
5529.330000,2705.410000,1025.870000
5430.310000,2704.120000,1038.420000
5329.850000,2702.620000,1051.930000
5227.890000,2700.910000,1066.420000
5124.340000,2698.960000,1081.910000
5019.120000,2696.760000,1098.430000
4912.140000,2694.300000,1115.990000
4803.310000,2691.540000,1134.620000
4692.520000,2688.480000,1154.350000
4579.660000,2685.090000,1175.210000
4464.620000,2681.340000,1197.220000
4347.260000,2677.200000,1220.420000
4257.030000,2673.810000,1238.740000
4135.270000,2668.920000,1264.120000
4011.620000,2663.590000,1290.600000
3886.050000,2657.790000,1318.210000
3758.490000,2651.480000,1346.970000
3628.900000,2644.650000,1376.860000
3497.250000,2637.240000,1407.910000
3363.510000,2629.240000,1440.100000
3227.690000,2620.600000,1473.420000
3089.800000,2611.280000,1507.870000
2949.890000,2601.270000,1543.400000
2808.050000,2590.520000,1579.980000
2664.410000,2579.000000,1617.540000
2519.130000,2566.700000,1656.020000
2497.720000,2564.830000,1661.730000
2350.840000,2551.600000,1701.130000
2205.210000,2537.770000,1740.620000
2060.940000,2523.360000,1780.140000
1918.090000,2508.350000,1819.630000
1776.730000,2492.760000,1859.080000
1636.920000,2476.590000,1898.420000
1498.700000,2459.840000,1937.630000
1362.110000,2442.530000,1976.680000
1227.160000,2424.650000,2015.530000
1093.890000,2406.210000,2054.170000
962.300000,2387.220000,2092.570000
832.400000,2367.690000,2130.700000
739.460000,2353.220000,2158.120000
612.470000,2332.740000,2195.780000
491.770000,2312.470000,2231.750000
376.350000,2292.270000,2266.320000
265.420000,2272.030000,2299.700000
158.400000,2251.680000,2332.040000
54.810000,2231.170000,2363.470000
-45.740000,2210.430000,2394.110000
-143.550000,2189.430000,2424.020000
-238.900000,2168.130000,2453.280000
-332.000000,2146.510000,2481.950000
-423.050000,2124.530000,2510.080000
-435.520000,2121.460000,2513.940000
7750.000000,2887.200000,4042.580000
7750.000000,2761.180000,5084.230000
17263.700000,20.000000,5869.950000
17263.240000,58.380000,5869.820000
17261.980000,96.640000,5869.600000
17259.940000,134.740000,5869.300000
17257.120000,172.710000,5868.920000
17253.500000,210.530000,5868.470000
17249.110000,248.230000,5867.930000
17243.930000,285.790000,5867.310000
17237.960000,323.240000,5866.610000
17231.220000,360.580000,5865.830000
17223.680000,397.800000,5864.980000
17215.360000,434.920000,5864.040000
17206.240000,471.940000,5863.020000
17196.340000,508.860000,5861.920000
17185.630000,545.690000,5860.730000
17174.130000,582.430000,5859.470000
17161.820000,619.090000,5858.120000
17148.700000,655.660000,5856.680000
17134.760000,692.160000,5855.170000
17120.000000,728.580000,5853.560000
17104.420000,764.930000,5851.880000
17088.010000,801.210000,5850.100000
17070.750000,837.420000,5848.240000
17052.650000,873.550000,5846.290000
17033.690000,909.620000,5844.250000
17013.880000,945.630000,5842.130000
16993.190000,981.560000,5839.910000
16971.630000,1017.420000,5837.600000
16949.190000,1053.220000,5835.190000
16925.850000,1088.940000,5832.700000
16901.610000,1124.590000,5830.110000
16876.470000,1160.160000,5827.420000
16850.410000,1195.640000,5824.640000
16823.430000,1231.050000,5821.760000
16795.520000,1266.360000,5818.780000
16766.670000,1301.580000,5815.700000
16736.880000,1336.690000,5812.520000
16706.140000,1371.690000,5809.240000
16674.450000,1406.580000,5805.860000
16641.800000,1441.340000,5802.370000
16608.190000,1475.970000,5798.790000
16573.620000,1510.450000,5795.090000
16538.080000,1544.770000,5791.300000
16501.580000,1578.920000,5787.400000
16464.110000,1612.890000,5783.390000
16425.680000,1646.660000,5779.280000
16386.290000,1680.210000,5775.060000
16345.950000,1713.530000,5770.740000
16304.670000,1746.610000,5766.320000
16262.460000,1779.410000,5761.790000
16219.330000,1811.920000,5757.160000
16175.310000,1844.120000,5752.430000
16130.410000,1875.970000,5747.590000
16084.650000,1907.470000,5742.660000
16038.060000,1938.570000,5737.630000
15990.690000,1969.240000,5732.510000
15942.560000,1999.470000,5727.300000
15893.720000,2029.200000,5722.010000
15844.210000,2058.420000,5716.630000
15831.050000,2066.030000,5715.200000
15780.780000,2094.530000,5709.730000
15730.210000,2122.300000,5704.210000
15679.310000,2149.330000,5698.650000
15628.080000,2175.650000,5693.040000
15576.510000,2201.260000,5687.380000
15524.560000,2226.160000,5681.680000
15472.230000,2250.370000,5675.920000
15419.490000,2273.890000,5670.110000
15366.330000,2296.730000,5664.250000
15312.720000,2318.910000,5658.330000
15258.640000,2340.420000,5652.350000
15204.060000,2361.280000,5646.310000
15148.950000,2381.490000,5640.210000
15093.280000,2401.060000,5634.040000
15037.020000,2420.010000,5627.800000
14980.130000,2438.330000,5621.490000
14922.560000,2456.030000,5615.100000
14864.270000,2473.130000,5608.630000
14805.210000,2489.640000,5602.080000
